run,iteration,fitness_max,fitness_min,fitness_median,fitness_mean,fitness_std,sure_count
1,121,0.0014594338135793805,1.1611687114054803e-06,0.00020327753736637533,0.0004202186537440866,0.0004987663123756647,0
1,122,0.0014594338135793805,1.471269570174627e-06,9.764658170752227e-05,0.00043072050902992487,0.0005425781710073352,0
1,123,0.0014595421962440014,4.806433366866258e-07,0.00013999718066770583,0.00031961905187927186,0.00044892707956023514,0
1,124,0.0014594466192647815,1.7470130160290864e-06,8.302876813104376e-05,0.0003465047338977456,0.00045040465192869306,0
1,125,0.0015801757108420134,5.055621841165703e-07,7.450308476109058e-05,0.0003445046895649284,0.0005196569836698472,0
1,126,0.0015802271664142609,6.462021701736376e-06,0.00021310393640305847,0.0003517896984703839,0.0004194271459709853,0
1,127,0.001616908353753388,4.311633290399186e-07,0.00012064850307069719,0.00032709326478652656,0.00047496758634224534,0
1,128,0.001616908353753388,2.1253886188787874e-06,0.00011304382496746257,0.0003439696447458118,0.0005100139533169568,0
1,129,0.0016167339636012912,1.0513327879380086e-06,8.634000550955534e-05,0.0003345330769661814,0.0004886041861027479,0
1,130,0.0016167339636012912,5.502454769157339e-06,0.00023996172240003943,0.0004201756091788411,0.0005159563152119517,0
1,131,0.0016167339636012912,6.407706791833334e-07,0.0001283975871047005,0.00036135734990239143,0.0004928105627186596,0
1,132,0.0016167339636012912,8.271155138572794e-07,0.00022054022701922804,0.00047788259689696133,0.0005221869796514511,0
1,133,0.0018293167231604457,7.896242664173769e-07,0.00022551737492904067,0.0005419343942776322,0.0006250277510844171,0
1,134,0.001829327899031341,2.865321562239842e-07,0.0002263817732455209,0.0004669703193940222,0.000591849151533097,0
1,135,0.0018293167231604457,1.8872719920182135e-06,0.00015791680198162794,0.0005364802782423794,0.0006198843475431204,0
1,136,0.0018293167231604457,4.432040441315621e-07,7.929203275125474e-05,0.00041358621092513204,0.0005733854486607015,0
1,137,0.003020649775862694,7.735750386927975e-07,0.00021481122530531138,0.0006673672469332814,0.0007919665658846498,0
1,138,0.00302068586461246,2.4357323127333075e-06,0.0006008757627569139,0.0007064729579724371,0.000711836910340935,0
1,139,0.003020649775862694,4.0089159369927074e-07,0.0001058287380146794,0.0004281875735614449,0.000725956168025732,0
1,140,0.00302068586461246,6.072952487556904e-07,7.041294156806543e-05,0.00037592340959236026,0.0006622252985835075,0
1,141,0.003020649775862694,7.389671168311907e-07,0.00014442059909924865,0.0005452241748571396,0.0008067975868470967,0
1,142,0.003020666306838393,4.4111352508480195e-06,0.00013143839896656573,0.0005562824080698192,0.0008065257570706308,0
1,143,0.0033279319759458303,9.189355409944255e-07,0.00015503492613788694,0.0005449125892482698,0.0008867591968737543,0
1,144,0.0033277629408985376,3.953990415084263e-07,5.133185186423361e-05,0.0005655675777234137,0.0009981258772313595,0
1,145,0.003328103804960847,2.4286987354571465e-06,0.00016987587150651962,0.0009130483376793563,0.0012533256085589528,0
1,146,0.003328103804960847,3.376720087544527e-06,0.00018210834241472185,0.0006563095957972109,0.0009523400804027915,0
1,147,0.003517270553857088,1.9244548354890867e-07,0.00030994630651548505,0.0008921294356696308,0.001143716392107308,0
1,148,0.003517275210469961,1.961521320481552e-06,0.0005317938048392534,0.0009936507558450103,0.0012127490481361747,0
1,149,0.004009021911770105,1.294260300710448e-06,0.000386240950319916,0.0011029649758711457,0.0012951160315424204,0
1,150,0.004008881747722626,1.2643465652217856e-06,9.358282113680616e-05,0.0008869366138242185,0.001433054101653397,0
1,151,0.004008881747722626,2.150620957763749e-06,0.00018757476937025785,0.000951888388954103,0.0013804021291434765,0
1,152,0.004196131136268377,2.1911710064159706e-06,0.0011939165415242314,0.0016019908944144845,0.0015994493151083589,0
1,153,0.004196403548121452,6.454207778006094e-06,0.0001987704890780151,0.0013284600572660565,0.0016491891583427787,0
1,154,0.004196002148091793,7.743810783722438e-07,0.00042360310908406973,0.0012897220440208912,0.0015723851975053549,0
1,155,0.004196403548121452,3.0863402571412735e-06,0.0007352494285441935,0.0013678577961400151,0.0014789404813200235,0
1,156,0.004196131136268377,1.4913551922290935e-06,0.0007041938370093703,0.0014628018252551556,0.001597408321686089,0
1,157,0.004542357753962278,7.535271606684546e-07,0.0011862999526783824,0.0016293086810037494,0.0015688118292018771,0
1,158,0.004542031325399876,8.102995820991055e-07,0.00019112099835183471,0.0008002124377526343,0.0012646294198930264,0
1,159,0.004542126785963774,3.239805721477751e-07,0.00017452696920372546,0.000852621509693563,0.0012793466448783875,0
1,160,0.004542031325399876,6.743601943526301e-07,0.00019289836927782744,0.0011153790401294827,0.0014677963918074965,0
1,161,0.004542073234915733,3.326137857584399e-06,0.00022522972722072154,0.0011771208373829722,0.0014922225382179022,0
1,162,0.004542073234915733,1.938021341629792e-06,7.84421426942572e-05,0.0009205833193846047,0.001452006632462144,0
1,163,0.004542031325399876,2.3325526399275986e-06,0.00017536722589284182,0.00117887940723449,0.001611845102161169,0
1,164,0.004542357753962278,1.6980778809738695e-06,0.00042207984370179474,0.0014850471634417772,0.0016870858380571008,0
1,165,0.004542126785963774,1.483735786678153e-06,0.00032224669121205807,0.001504323910921812,0.0018150581745430827,0
1,166,0.004542126785963774,1.7380654071530444e-06,0.00010315362305846065,0.0012498589931055903,0.0016400335589423776,0
1,167,0.004542173817753792,1.7085106662761973e-07,0.0008606103947386146,0.0016267438186332583,0.0017954770009964705,0
1,168,0.004542031325399876,7.497678211620951e-07,0.00046447067870758474,0.001193277188576758,0.0015428409678861499,0
1,169,0.004542357753962278,1.7306239215031383e-06,0.00022088398691266775,0.0011747587705031037,0.0015631839632987976,0
1,170,0.004542126785963774,2.560190750955371e-06,0.0001743090251693502,0.001287892577238381,0.001753401244059205,0
1,171,0.004542173817753792,3.055302613574895e-06,0.00030453421641141176,0.0012103506596758962,0.0016859369352459908,0
1,172,0.004542031325399876,5.607073489954928e-06,0.00047270560753531754,0.0012984767090529203,0.0017607624176889658,0
1,173,0.004542126785963774,1.0266645631418214e-06,0.00042527870391495526,0.0013006615918129683,0.0016242561396211386,0
1,174,0.004542126785963774,3.323092641949188e-06,5.591300578089431e-05,0.0006406778120435774,0.0012825650628656149,0
1,175,0.004542357753962278,9.927761084327358e-07,0.00010928482515737414,0.0007706467877142131,0.0014052707701921463,0
1,176,0.004542357753962278,1.0155628160646302e-06,7.831271068425849e-05,0.0010502728400751948,0.0016891594277694821,0
1,177,0.004542126785963774,6.906311114107666e-07,0.00028790399665012956,0.0014613262610509992,0.0018376164371147752,0
1,178,0.004542266950011253,2.5800811727094697e-06,0.0007666648016311228,0.0015693046152591705,0.001620083348825574,0
1,179,0.004542357753962278,1.3743531326326774e-06,0.0001448097755201161,0.000985705410130322,0.0014301618793979287,0
1,180,0.004542126785963774,1.0879132332775043e-06,0.00033197816810570657,0.0009273310424759984,0.0012881438015028834,0
1,181,0.004542031325399876,9.248621495316911e-07,0.00028340244898572564,0.0010952036827802658,0.0015474793035537004,0
1,182,0.004734003450721502,1.3980137509861379e-06,0.0003017903072759509,0.0012161785271018744,0.0016642294358462095,0
1,183,0.00473405746743083,1.0044852842838736e-06,0.00039156610728241503,0.0011769585544243455,0.0016272255452349782,0
1,184,0.00473405746743083,2.143669917131774e-06,0.000588495924603194,0.001496649463661015,0.0017595391254872084,0
